KM_Driven,Car_Age,Owner_Number,Latitude,Longitude,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Manual,Brand_Hyundai,Brand_Kia,Brand_MG,Brand_Mahindra,Brand_Maruti Suzuki,Brand_Mercedes-Benz,Brand_Other,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen
26000.0,3,1.0,22.5280337,88.3659084,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33600.0,6,1.0,22.5333241,88.3857621,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15000.0,11,1.0,22.6530765,88.3805962,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
50000.0,5,1.0,22.5044355,88.3721663,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
34000.0,3,2.0,22.5280337,88.3659084,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34000.0,12,2.0,22.6530765,88.3805962,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
45000.0,12,1.0,22.5325844,88.3454429,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10000.0,12,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
37035.0,2,1.0,22.5262287,88.3526209,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
41605.0,7,1.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38000.0,4,1.0,22.5153313,88.3477052,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
66000.0,7,1.0,30.6922961,76.7999692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44000.0,13,2.0,22.540728,88.3827317,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
69904.0,8,1.0,22.9822325,88.439166,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15807.0,3,1.0,22.5098737,88.3592364,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10000.0,2,1.0,22.5726,88.3639,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
65000.0,7,1.0,22.5280337,88.3659084,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50200.0,5,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
90000.0,13,1.0,22.4916328,88.3848488,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
110000.0,12,1.0,22.5153313,88.3477052,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
8080.0,4,1.0,22.5356484,88.3370536,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
41000.0,7,1.0,22.4565251,88.3865114,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
36312.0,8,1.0,22.5726,88.3639,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10000.0,1,1.0,22.5044355,88.3721663,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
49359.0,9,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
12000.0,1,1.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
70000.0,8,3.0,22.5726,88.3639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
33389.0,8,2.0,22.590425,88.41692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70011.0,12,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
58107.0,12,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
40000.0,4,1.0,22.5726459,88.3638953,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50000.0,9,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
51460.0,5,1.0,22.5044355,88.3721663,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45000.0,8,1.0,22.4995309,88.3715953,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
75000.0,9,1.0,22.590425,88.41692,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20000.0,7,1.0,22.5262287,88.3526209,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26000.0,3,1.0,22.5280337,88.3659084,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
34103.0,12,1.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30500.0,2,1.0,22.5325844,88.3454429,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20347.0,3,1.0,22.9822325,88.439166,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
70000.0,11,1.0,22.5056055,88.363674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19238.0,2,1.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
50000.0,12,2.0,22.4565251,88.3865114,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
48269.0,10,1.0,22.590425,88.41692,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32355.0,4,1.0,22.590425,88.41692,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
26064.0,3,1.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
88927.0,13,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
27132.0,6,1.0,22.4995309,88.3715953,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
18000.0,9,1.0,22.590425,88.41692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90000.0,9,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8479.0,4,1.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
59710.0,8,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
18230.0,3,2.0,22.5044355,88.3721663,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
70000.0,4,1.0,22.5726,88.3639,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50000.0,3,1.0,30.6922961,76.7999692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64000.0,4,1.0,22.5726,88.3639,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
47131.0,13,1.0,22.5507265,88.4039735,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40000.0,4,1.0,22.5280337,88.3659084,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
85893.0,7,1.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
23760.0,6,1.0,22.5726,88.3639,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
58720.0,6,1.0,22.5726,88.3639,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12000.0,2,1.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
17000.0,5,2.0,22.5726,88.3639,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
39000.0,9,2.0,22.5726459,88.3638953,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
150000.0,10,3.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10000.0,1,1.0,22.5726459,88.3638953,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
82978.0,9,1.0,22.9822325,88.439166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38000.0,10,1.0,22.5325844,88.3454429,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13533.0,4,1.0,22.590425,88.41692,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84265.0,11,1.0,22.9822325,88.439166,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
60000.0,7,1.0,30.6922961,76.7999692,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41622.0,3,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
15444.0,0,1.0,22.5726,88.3639,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
54166.0,5,2.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
25595.0,9,1.0,22.590425,88.41692,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21785.0,5,1.0,22.5726,88.3639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66000.0,7,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58000.0,12,2.0,22.5264928,88.3323692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70870.0,8,2.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
35000.0,6,1.0,22.5356484,88.3370536,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28000.0,13,1.0,22.5262287,88.3526209,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19000.0,5,1.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
16000.0,3,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42000.0,7,1.0,22.5044355,88.3721663,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
61844.0,10,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
34000.0,9,1.0,22.5193459,88.3642874,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18690.0,9,1.0,22.5153313,88.3477052,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
45000.0,14,2.0,22.5262287,88.3526209,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
26999.0,2,1.0,22.9822325,88.439166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55000.0,3,1.0,22.5325844,88.3454429,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
56445.0,4,1.0,22.5726,88.3639,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
54000.0,7,2.0,22.5262287,88.3526209,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22000.0,7,2.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
5600.0,2,1.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
64000.0,5,1.0,22.5325844,88.3454429,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23369.0,3,1.0,22.9822325,88.439166,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40000.0,8,2.0,22.5726,88.3639,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40000.0,4,1.0,22.5813946,88.3528436,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
34000.0,9,1.0,22.5153313,88.3477052,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
34000.0,9,1.0,22.5153313,88.3477052,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40000.0,12,2.0,22.5606882,88.3819723,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65000.0,10,2.0,22.5044355,88.3721663,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
60000.0,5,2.0,22.5280337,88.3659084,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
60000.0,18,2.0,22.5726459,88.3638953,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
45000.0,3,1.0,22.5044355,88.3721663,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
21687.0,2,1.0,22.9822325,88.439166,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40000.0,9,2.0,22.4565251,88.3865114,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20065.0,2,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
34496.0,3,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
52949.0,9,1.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
45000.0,5,1.0,22.5044355,88.3721663,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24000.0,8,1.0,22.4995309,88.3715953,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
55500.0,4,1.0,22.5325844,88.3454429,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17000.0,4,1.0,22.5153313,88.3477052,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45233.0,11,1.0,22.5153313,88.3477052,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
47395.0,11,1.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
19150.0,2,1.0,22.590425,88.41692,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
52000.0,8,1.0,22.4565251,88.3865114,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
